№,Реальныйрейтинг,Уникальныйкод,Номерличногодела,Баллприоритет 1,Баллприоритет 2,Баллприоритет 3,Суммабаллов попредметам,СуммаИД,Суммацелевых ИД,Конкурсныйбалл,Общежитие,Согласие,Приоритет,Основнойвысшийприоритет,Высшийпроходнойприоритет,Льгота,Номерпредложения,Номерзаказчика,Имеетсязаявка,Предложениена РВР,Преимущественноеправо,Статус вГосуслугах,Примечание
249,,3960974,138207,46,56,64,166,2,0,168,нужд.,нет,5,,,0,,,,нет,1,Участвует в конкурсе,
250,,3920878,136640,52,61,54,167,0,0,167,нужд.,нет,2,4,,0,,,,нет,,Участвует в конкурсе,
251,,4087166,139090,52,58,57,167,0,0,167,нужд.,нет,1,2,,0,,,,нет,1,Участвует в конкурсе,
252,,3661566,134619,64,53,49,166,0,0,166,не нужд.,нет,6,,,0,,,,нет,,На рассмотрении,
253,,4102069,135009,40,54,69,163,3,0,166,не нужд.,нет,5,,,0,,,,нет,1,Ожидание результатов ВИ,
254,,3657956,131354,58,62,45,165,0,0,165,нужд.,да,5,,1,0,,,,нет,,На рассмотрении,
255,,3909750,135524,52,59,54,165,0,0,165,нужд.,нет,4,,,0,,,,нет,,Участвует в конкурсе,
256,,3572895,131496,58,58,48,164,0,0,164,не нужд.,нет,1,,,0,,,,нет,,На рассмотрении,
257,,3958009,136768,46,51,67,164,0,0,164,не нужд.,нет,4,,,0,,,,нет,,Участвует в конкурсе,
258,,3578567,130696,70,51,42,163,0,0,163,не нужд.,нет,2,,,0,,,,нет,,На рассмотрении,
259,1,4136218,140356,58,53,52,163,0,0,163,не нужд.,да,1,,1,0,,,,нет,,Участвует в конкурсе,
260,,3955033,136623,58,48,57,163,0,0,163,не нужд.,нет,1,,,0,,,,нет,,На рассмотрении,
261,,3936824,136015,52,59,49,160,2,0,162,не нужд.,нет,1,,,0,,,,нет,,Участвует в конкурсе,
262,,4156197,140729,58,61,42,161,0,0,161,нужд.,нет,4,,,0,,,,нет,,На рассмотрении,
263,,4170809,141159,52,54,55,161,0,0,161,не нужд.,нет,3,,,0,,,,нет,,Участвует в конкурсе,
264,,3591344,130567,52,59,49,160,0,0,160,не нужд.,нет,1,,,0,,,,нет,,На рассмотрении,
265,,3559832,130274,52,54,52,158,0,0,158,не нужд.,нет,2,,,0,,,,нет,,На рассмотрении,
266,,4231195,142476,58,44,54,156,0,0,156,нужд.,нет,5,,,0,,,,нет,,На рассмотрении,
267,,3923610,135771,46,54,55,155,0,0,155,не нужд.,нет,2,,,0,,,,нет,,На рассмотрении,
268,,3594709,130480,40,58,57,155,0,0,155,нужд.,нет,6,,,0,,,,нет,,На рассмотрении,
269,,4222881,142137,52,49,52,153,0,0,153,нужд.,нет,2,,,0,,,,нет,,Участвует в конкурсе,
270,,3870149,141089,58,48,46,152,0,0,152,не нужд.,нет,3,,,0,,,,нет,,На рассмотрении,
271,,3637239,130439,58,40,54,152,0,0,152,не нужд.,нет,5,,,0,,,,нет,,На рассмотрении,
272,,3836822,133850,46,54,52,152,0,0,152,не нужд.,нет,1,,,0,,,,нет,,На рассмотрении,
273,,4162246,141300,46,54,46,146,0,0,146,не нужд.,нет,3,,,0,,,,нет,,Участвует в конкурсе,
274,,3841464,135316,46,53,46,145,0,0,145,нужд.,нет,6,,,0,,,,нет,,Участвует в конкурсе,
275,,3567640,130334,52,40,49,141,0,0,141,не нужд.,нет,3,,,0,,,,нет,,На рассмотрении,
276,,4059108,138696,46,44,49,139,0,0,139,нужд.,нет,8,,,0,,,,нет,,Участвует в конкурсе,
277,,4209773,142203,40,54,42,136,0,0,136,нужд.,нет,4,,,0,,,,нет,,На рассмотрении,
278,,3895517,139724,46,44,43,133,0,0,133,нужд.,нет,2,,,0,,,,нет,,На рассмотрении,
279,,3856527,134380,27,48,58,133,0,0,133,нужд.,нет,5,,,0,,,,нет,,На рассмотрении,
280,,4026566,139579,64,0,46,110,2,0,112,не нужд.,нет,3,,,0,,,,нет,,На рассмотрении,
281,,3984363,137228,0,36,54,90,0,0,90,не нужд.,нет,2,,,0,,,,нет,,На рассмотрении,
282,,4200421,141824,40,идет на экзамен,46,86,0,0,86,нужд.,нет,11,,,0,,,,нет,,Ожидание результатов ВИ,
283,,4033107,140806,0,0,69,69,0,0,69,нужд.,нет,1,,,0,,,,нет,,На рассмотрении,
284,,4220464,142425,идет на экзамен,идет на экзамен,67,67,0,0,67,нужд.,нет,3,,,0,,,,нет,,Ожидание результатов ВИ,
285,,3673930,131212,идет на экзамен,66,идет на экзамен,66,0,0,66,нужд.,нет,2,,,0,,,,нет,,Ожидание результатов ВИ,
286,,4256919,140519,идет на экзамен,идет на экзамен,идет на экзамен,0,10,0,10,не нужд.,нет,2,,,0,,,,нет,,Ожидание результатов ВИ,
287,,3870936,134856,идет на экзамен,идет на экзамен,0,0,10,0,10,нужд.,нет,2,,,0,,,,нет,,На рассмотрении,
288,,4256915,140462,идет на экзамен,идет на экзамен,идет на экзамен,0,10,0,10,не нужд.,нет,2,,,0,,,,нет,,Ожидание результатов ВИ,
289,,4062183,141064,идет на экзамен,идет на экзамен,идет на экзамен,0,10,0,10,не нужд.,нет,2,,,0,,,,нет,,Ожидание результатов ВИ,
290,,4256928,140576,идет на экзамен,идет на экзамен,идет на экзамен,0,10,0,10,не нужд.,нет,2,,,0,,,,нет,,Ожидание результатов ВИ,
291,,4091729,139199,идет на экзамен,идет на экзамен,идет на экзамен,0,10,0,10,нужд.,нет,1,,,0,,,,нет,,Ожидание результатов ВИ,
292,,3641630,130988,0,0,0,0,5,0,5,нужд.,нет,2,,,0,,,,нет,,На рассмотрении,
293,,3756632,132569,идет на экзамен,идет на экзамен,идет на экзамен,0,5,0,5,не нужд.,нет,4,,,0,,,,нет,,Ожидание результатов ВИ,
294,,3802490,134920,0,0,0,0,5,0,5,не нужд.,нет,4,,,0,,,,нет,,Участвует в конкурсе,
295,,3877544,135228,0,0,0,0,3,0,3,не нужд.,нет,4,,,0,,,,нет,,На рассмотрении,
296,,3860664,134483,0,0,0,0,3,0,3,не нужд.,нет,1,,,0,,,,нет,,На рассмотрении,
297,,3760934,132706,идет на экзамен,идет на экзамен,идет на экзамен,0,3,0,3,нужд.,нет,4,,,0,,,,нет,,Ожидание результатов ВИ,
298,,3698520,133617,0,0,0,0,2,0,2,нужд.,нет,2,,,0,,,,нет,,Участвует в конкурсе,
299,,3879441,135327,0,0,0,0,2,0,2,нужд.,нет,7,,,0,,,,нет,,На рассмотрении,
300,,3693859,131823,0,0,0,0,2,0,2,не нужд.,нет,1,,,0,,,,нет,,На рассмотрении,
301,,4013251,137825,идет на экзамен,идет на экзамен,идет на экзамен,0,0,0,0,нужд.,нет,3,,,0,,,,нет,1,Ожидание результатов ВИ,
302,,3602083,131047,идет на экзамен,идет на экзамен,идет на экзамен,0,0,0,0,нужд.,нет,1,,,0,,,,нет,1,Ожидание результатов ВИ,
303,,3859386,141107,0,0,0,0,0,0,0,нужд.,нет,5,,,0,,,,нет,1,На рассмотрении,
304,,4269361,134228,идет на экзамен,идет на экзамен,идет на экзамен,0,0,0,0,нужд.,нет,3,,,0,,,,нет,,Ожидание результатов ВИ,
305,,3732631,132351,идет на экзамен,идет на экзамен,0,0,0,0,0,не нужд.,нет,5,,,0,,,,нет,,На рассмотрении,
306,,0,142507,идет на экзамен,идет на экзамен,идет на экзамен,0,0,0,0,нужд.,нет,4,,,0,,,,нет,,Ожидание результатов ВИ,
307,,0,142489,идет на экзамен,идет на экзамен,идет на экзамен,0,0,0,0,нужд.,нет,4,,,0,,,,нет,,Ожидание результатов ВИ,
308,,3860329,134488,0,0,0,0,0,0,0,не нужд.,нет,1,,,0,,,,нет,,На рассмотрении,
309,,3677921,131618,идет на экзамен,идет на экзамен,идет на экзамен,0,0,0,0,не нужд.,нет,5,,,0,,,,нет,,Ожидание результатов ВИ,
310,,3792393,133101,0,0,0,0,0,0,0,не нужд.,нет,1,,,0,,,,нет,,На рассмотрении,
311,,3808503,133958,0,0,0,0,0,0,0,не нужд.,нет,2,,,0,,,,нет,,На рассмотрении,
312,,4140005,142405,0,0,0,0,0,0,0,не нужд.,нет,4,,,0,,,,нет,,На рассмотрении,
313,,3771738,132808,0,0,0,0,0,0,0,не нужд.,нет,3,,,0,,,,нет,,На рассмотрении,
314,,4109231,139969,идет на экзамен,идет на экзамен,идет на экзамен,0,0,0,0,не нужд.,нет,1,,,0,,,,нет,,Ожидание результатов ВИ,
315,,3762151,134868,0,0,0,0,0,0,0,не нужд.,нет,6,,,0,,,,нет,,На рассмотрении,
316,,3870576,134858,0,0,0,0,0,0,0,не нужд.,нет,3,,,0,,,,нет,,На рассмотрении,
317,,3601048,130411,идет на экзамен,идет на экзамен,идет на экзамен,0,0,0,0,не нужд.,нет,4,,,0,,,,нет,,Ожидание результатов ВИ,
318,,3864693,134610,0,0,0,0,0,0,0,не нужд.,нет,1,,,0,,,,нет,,На рассмотрении,
319,,4091236,139189,идет на экзамен,идет на экзамен,0,0,0,0,0,нужд.,нет,5,,,0,,,,нет,,На рассмотрении,
320,,3871357,134887,0,0,0,0,0,0,0,нужд.,нет,2,,,0,,,,нет,,На рассмотрении,
321,,3815779,133536,0,0,0,0,0,0,0,нужд.,нет,2,,,0,,,,нет,,На рассмотрении,
322,,3617654,130637,идет на экзамен,идет на экзамен,0,0,0,0,0,нужд.,нет,4,,,0,,,,нет,,Ожидание результатов ВИ,
323,,3876212,135261,0,0,0,0,0,0,0,не нужд.,нет,6,,,0,,,,нет,,На рассмотрении,
324,,3607536,131022,0,0,0,0,0,0,0,нужд.,нет,1,,,0,,,,нет,,Участвует в конкурсе,
325,,3802715,133206,0,0,0,0,0,0,0,нужд.,нет,3,,,0,,,,нет,,На рассмотрении,
326,,3988886,137280,идет на экзамен,идет на экзамен,0,0,0,0,0,нужд.,нет,1,,,0,,,,нет,,Ожидание результатов ВИ,
327,,4218028,142046,0,0,0,0,0,0,0,нужд.,нет,2,,,0,,,,нет,,На рассмотрении,
328,,3715305,132098,0,0,0,0,0,0,0,не нужд.,нет,5,,,0,,,,нет,,На рассмотрении,
329,,3933586,136030,идет на экзамен,идет на экзамен,идет на экзамен,0,0,0,0,не нужд.,нет,5,,,0,,,,нет,,Ожидание результатов ВИ,
330,,3915358,135637,идет на экзамен,идет на экзамен,идет на экзамен,0,0,0,0,не нужд.,нет,5,,,0,,,,нет,,Ожидание результатов ВИ,
331,,3668503,133189,идет на экзамен,идет на экзамен,идет на экзамен,0,0,0,0,нужд.,нет,4,,,0,,,,нет,,Ожидание результатов ВИ,
332,,3696606,131692,идет на экзамен,идет на экзамен,идет на экзамен,0,0,0,0,нужд.,нет,3,,,0,,,,нет,,Ожидание результатов ВИ,
333,,4104383,142009,0,0,0,0,0,0,0,нужд.,нет,2,,,0,,,,нет,,На рассмотрении,
334,,4102051,136426,идет на экзамен,идет на экзамен,идет на экзамен,0,0,0,0,нужд.,нет,3,,,0,,,,нет,,Ожидание результатов ВИ,
335,,3576971,134538,0,0,0,0,0,0,0,нужд.,да,4,,,0,,,,нет,,На рассмотрении,
336,,3817360,133459,0,0,0,0,0,0,0,не нужд.,нет,7,,,0,,,,нет,,На рассмотрении,
337,,3668240,134289,0,0,0,0,0,0,0,нужд.,нет,1,,,0,,,,нет,,На рассмотрении,
338,,3846328,134075,0,0,0,0,0,0,0,нужд.,нет,2,,,0,,,,нет,,На рассмотрении,
339,,4047984,142733,0,0,0,0,0,0,0,нужд.,нет,7,,,0,,,,нет,,На рассмотрении,
340,,4170141,141131,0,0,0,0,0,0,0,нужд.,нет,3,,,0,,,,нет,,На рассмотрении,
