№,Реальныйрейтинг,Уникальныйкод,Номерличногодела,Баллприоритет 1,Баллприоритет 2,Баллприоритет 3,Суммабаллов попредметам,СуммаИД,Суммацелевых ИД,Конкурсныйбалл,Общежитие,Согласие,Приоритет,Основнойвысшийприоритет,Высшийпроходнойприоритет,Льгота,Номерпредложения,Номерзаказчика,Имеетсязаявка,Предложениена РВР,Преимущественноеправо,Статус вГосуслугах,Примечание
67,,4027183,136522,80,82,63,225,7,0,232,нужд.,нет,3,1,,0,,,,нет,,На рассмотрении,
68,,3759381,139287,78,62,89,229,0,0,229,нужд.,нет,5,1,,0,,,,нет,,Участвует в конкурсе,
69,,3731887,136856,74,83,72,229,0,0,229,не нужд.,нет,4,1,,0,,,,нет,,Участвует в конкурсе,
70,,3697625,131895,82,77,69,228,0,0,228,не нужд.,нет,4,,,0,,,,нет,,На рассмотрении,
71,,4064114,138754,78,73,75,226,2,0,228,нужд.,нет,3,3,,0,,,,нет,,Участвует в конкурсе,
72,,3643769,134581,76,77,75,228,0,0,228,нужд.,нет,4,2,,0,,,,нет,,Участвует в конкурсе,
73,,3974540,139889,76,70,72,218,10,0,228,не нужд.,нет,6,6,,0,,,,нет,,Участвует в конкурсе,
74,,4026597,138020,76,67,75,218,10,0,228,нужд.,нет,1,,,0,,,,нет,,Участвует в конкурсе,
75,,3661857,131375,74,82,72,228,0,0,228,не нужд.,да,1,,,0,,,,нет,,На рассмотрении,
76,,3911976,135884,76,70,75,221,6,0,227,нужд.,нет,5,1,,0,,,,нет,1,Участвует в конкурсе,
77,,3740960,132417,84,70,72,226,0,0,226,нужд.,нет,1,4,,0,,,,нет,,Участвует в конкурсе,
78,,4109012,139982,82,64,70,216,10,0,226,нужд.,нет,2,1,,0,,,,нет,,Участвует в конкурсе,
79,,3915059,135613,78,62,86,226,0,0,226,нужд.,нет,6,,,0,,,,нет,,На рассмотрении,
80,,3724034,132282,74,83,69,226,0,0,226,не нужд.,нет,1,,,0,,,,нет,,На рассмотрении,
81,,4160310,140181,74,70,72,216,10,0,226,не нужд.,нет,2,1,,0,,,,нет,,На рассмотрении,
82,,3761631,132746,72,71,72,215,10,0,225,не нужд.,нет,6,,,0,,,,нет,,На рассмотрении,
83,,4104201,139684,70,80,70,220,5,0,225,не нужд.,нет,2,1,,0,,,,нет,,Участвует в конкурсе,
84,,4257048,141636,70,64,81,215,10,0,225,не нужд.,нет,1,2,,0,,,,нет,,На рассмотрении,
85,,3694574,131816,78,73,73,224,0,0,224,нужд.,нет,1,1,,0,,,,нет,1,На рассмотрении,
86,,3984198,137439,74,64,81,219,5,0,224,нужд.,нет,1,2,,0,,,,нет,1,Участвует в конкурсе,
87,,3877474,137204,80,74,69,223,0,0,223,не нужд.,нет,5,1,,0,,,,нет,,На рассмотрении,
88,,3705286,131830,78,70,73,221,2,0,223,нужд.,нет,1,2,,0,,,,нет,,На рассмотрении,
89,,4103311,139647,76,78,69,223,0,0,223,нужд.,нет,2,5,,0,,,,нет,,Участвует в конкурсе,
90,,3625368,136998,74,76,63,213,10,0,223,нужд.,нет,5,3,,0,,,,нет,,Участвует в конкурсе,
91,,3705795,131787,80,64,78,222,0,0,222,нужд.,нет,1,,,0,,,,нет,,На рассмотрении,
92,,3646071,131406,78,76,66,220,2,0,222,нужд.,нет,3,,,0,,,,нет,,На рассмотрении,
93,,3824054,136854,78,75,67,220,2,0,222,нужд.,нет,1,,,0,,,,нет,,Участвует в конкурсе,
94,,4103502,139686,78,75,66,219,3,0,222,не нужд.,нет,5,1,,0,,,,нет,1,Участвует в конкурсе,
95,,4200645,141818,78,68,66,212,10,0,222,нужд.,нет,1,2,,0,,,,нет,,Участвует в конкурсе,
96,,3850283,134224,78,61,83,222,0,0,222,нужд.,нет,4,5,,0,,,,нет,,Участвует в конкурсе,
97,,3984244,136955,74,74,63,211,10,0,221,не нужд.,нет,5,1,,0,,,,нет,,На рассмотрении,
98,,4020717,137814,70,70,81,221,0,0,221,нужд.,нет,2,1,,0,,,,нет,,Участвует в конкурсе,
99,,3846685,133942,76,78,64,218,2,0,220,не нужд.,да,4,1,1,0,,,,нет,,Участвует в конкурсе,
100,,4020793,137856,74,70,66,210,10,0,220,нужд.,нет,8,,,0,,,,нет,,Участвует в конкурсе,
101,,4033856,138404,72,65,81,218,2,0,220,не нужд.,нет,4,1,,0,,,,нет,,Участвует в конкурсе,
102,,3847546,136113,84,73,60,217,2,0,219,нужд.,нет,1,2,,0,,,,нет,,Участвует в конкурсе,
103,,3729894,132283,82,65,72,219,0,0,219,не нужд.,нет,1,,,0,,,,нет,,На рассмотрении,
104,,3919208,135705,74,71,69,214,5,0,219,не нужд.,нет,5,2,,0,,,,нет,,На рассмотрении,
105,,4168723,141059,74,64,73,211,8,0,219,не нужд.,нет,4,5,,0,,,,нет,,Участвует в конкурсе,
106,,3747709,132487,70,62,87,219,0,0,219,не нужд.,нет,1,2,,0,,,,нет,,Участвует в конкурсе,
107,,4139934,140467,74,56,78,208,10,0,218,нужд.,нет,1,2,,0,,,,нет,,Участвует в конкурсе,
108,,4236296,142553,72,74,72,218,0,0,218,не нужд.,нет,5,1,,0,,,,нет,,На рассмотрении,
109,,4022985,138848,72,73,73,218,0,0,218,не нужд.,нет,3,2,,0,,,,нет,,Участвует в конкурсе,
110,,4256967,141427,70,74,64,208,10,0,218,не нужд.,нет,2,,,0,,,,нет,,На рассмотрении,
